2024-04-06 19:01:39.821 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-04-06 19:01:39.821 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-04-06 19:01:40.239 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-04-06 19:01:40.240 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-04-06 19:01:40.266 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2024-04-06 19:01:40.568 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-04-06 19:01:40.573 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-06 19:01:40.575 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-04-06 19:01:40.575 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-04-06 19:01:40.605 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2024-04-06 19:01:40.605 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 783 ms
2024-04-06 19:01:41.090 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@463d1b5b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@f63904, org.springframework.security.web.context.SecurityContextHolderFilter@119d4922, org.springframework.security.web.header.HeaderWriterFilter@483f651b, org.springframework.security.web.authentication.logout.LogoutFilter@7ba1ea18, com.phoenixhell.authbackend.filter.JwtTokenFilter@6e022ccc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@f469d2e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@f093895, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3ba43613, org.springframework.security.web.session.SessionManagementFilter@5ad64f8e, org.springframework.security.web.access.ExceptionTranslationFilter@10a63720, org.springframework.security.web.access.intercept.AuthorizationFilter@51e30a29]
2024-04-06 19:01:41.216 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-04-06 19:01:41.268 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-04-06 19:01:41.279 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2024-04-06 19:01:41.286 [restartedMain] INFO  c.phoenixhell.authbackend.AuthBackendApplication - Started AuthBackendApplication in 1.824 seconds (process running for 2.287)
2024-04-06 19:01:43.751 [http-nio-8080-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-06 19:01:43.751 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-04-06 19:01:43.751 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-04-06 19:01:43.932 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
